id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1175777986282344449,1175735907476885507,1569162291000,2019-09-22,21:24:51,SE Asia Standard Time,1153517631078457345,martizal1,Martizal,,"Sekarang bukan tahun 1998, saatnya buat sejarah baru.
#GejayanMemanggil
#GejayanMemanggil",['yajugalubang'],[],[],0,0,0,"['#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/Martizal1/status/1175777986282344449,False,,0,,,,,,,"[{'user_id': '1153517631078457345', 'username': 'Martizal1'}, {'user_id': '73560622', 'username': 'yajugalubang'}]",,,,
1175777973938479104,1175777973938479104,1569162288000,2019-09-22,21:24:48,SE Asia Standard Time,472894495,olsyvinoliarnof,Olsy Vinoli Arnof,,"#GejayanMemanggil
#AmienRais_jangandiajak",[],[],[],0,0,0,"['#gejayanmemanggil', '#amienrais_jangandiajak']",[],https://twitter.com/OlsyVinoliArnof/status/1175777973938479104,False,,0,,,,,,,"[{'user_id': '472894495', 'username': 'OlsyVinoliArnof'}]",,,,
1175777969672843264,1175777969672843264,1569162287000,2019-09-22,21:24:47,SE Asia Standard Time,1026108578522836992,suddend01990860,R.I.P THE WORLD 😭,,"Nasib Bangsa ada di pundak pemuda-pemudi  ,saat nya pemuda  pemudi bersama rakyat bergerak dan melawan demi masa depan bangsa !!! #GejayanMemanggil",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/SuddenD01990860/status/1175777969672843264,False,,0,,,,,,,"[{'user_id': '1026108578522836992', 'username': 'SuddenD01990860'}]",,,,
1175777950718775296,1175777950718775296,1569162283000,2019-09-22,21:24:43,SE Asia Standard Time,1157122140807630849,indahsuci939,Suci Lorian,,#GejayanMemanggil  pic.twitter.com/QFhEXpxdjr,[],[],['https://pbs.twimg.com/media/EFEzz0mU4AADj1U.jpg'],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/indahsuci939/status/1175777950718775296,False,,0,,,,,,,"[{'user_id': '1157122140807630849', 'username': 'indahsuci939'}]",,,,
1175777950177693696,1175777950177693696,1569162282000,2019-09-22,21:24:42,SE Asia Standard Time,1073864459217555456,muhammadhabz,aku jagoan🤙,,"Jancukkk ayokk sesok budal neng gejayan jejeli cangkem cangkem seng koar koar gak genah 
#JancokMoment
#GejayanMemanggil
#SAVAGEXFENTYSHOW",[],[],[],0,0,3,"['#jancokmoment', '#gejayanmemanggil', '#savagexfentyshow']",[],https://twitter.com/muhammadhabz/status/1175777950177693696,False,,0,,,,,,,"[{'user_id': '1073864459217555456', 'username': 'muhammadhabz'}]",,,,
1175777944196632577,1175777944196632577,1569162281000,2019-09-22,21:24:41,SE Asia Standard Time,2919165798,ifanemin,irfan al amin,,Berharap #GejayanMemanggil dapat menyadarkan para penguasa bahwa siapakah representasi tuhan sebenarnya dalam pola demokrasi kekuasaan.,[],[],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/ifanemin/status/1175777944196632577,False,,0,,,,,,,"[{'user_id': '2919165798', 'username': 'ifanemin'}]",,,,
1175777928405078016,1175777928405078016,1569162277000,2019-09-22,21:24:37,SE Asia Standard Time,737072900,fajarkurniantoo,sengkuni~,,Loss nggak rewel #GejayanMemanggil  pic.twitter.com/g5rOyZYNPN,[],[],['https://pbs.twimg.com/media/EFEzymmUcAEC6tw.jpg'],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/fajarkurniantoo/status/1175777928405078016,False,,0,,,,,,,"[{'user_id': '737072900', 'username': 'fajarkurniantoo'}]",,,,
1175777925515231232,1175777925515231232,1569162276000,2019-09-22,21:24:36,SE Asia Standard Time,1147499477751586818,hmmurahmurahhm2,Hmmurahmurahhm,,"Negoro Banyak Hutang Mbah Wis Tembus 5.400.Triliun, Pengemis Mbayar..?
#GejayanMemanggil
#GejayanMemanggil  https://twitter.com/sudjiwotedjo/status/1175687000172580864 …",[],['https://twitter.com/sudjiwotedjo/status/1175687000172580864'],[],0,0,1,"['#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/Hmmurahmurahhm2/status/1175777925515231232,False,https://twitter.com/sudjiwotedjo/status/1175687000172580864,0,,,,,,,"[{'user_id': '1147499477751586818', 'username': 'Hmmurahmurahhm2'}]",,,,
1175777911468482560,1175777911468482560,1569162273000,2019-09-22,21:24:33,SE Asia Standard Time,107416229,nwdjj,Jeje,,Ada apa dengan Gejayan ? #GejayanMemanggil,[],[],[],1,0,0,['#gejayanmemanggil'],[],https://twitter.com/nwdjj/status/1175777911468482560,False,,0,,,,,,,"[{'user_id': '107416229', 'username': 'nwdjj'}]",,,,
1175777909883068416,1175777909883068416,1569162273000,2019-09-22,21:24:33,SE Asia Standard Time,404191936,awwllaa,Ull!!!,,#GejayanMemanggil  pic.twitter.com/IfhKjoQLHv,[],[],['https://pbs.twimg.com/media/EFEzxP_U0AEKgDS.jpg'],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/awwllaa/status/1175777909883068416,False,,0,,,,,,,"[{'user_id': '404191936', 'username': 'awwllaa'}]",,,,
1175777888131375106,1175777888131375106,1569162268000,2019-09-22,21:24:28,SE Asia Standard Time,71212954,kriztbee,cah kulon ndalan,,#GejayanMemanggil #JogjaBergerak pic.twitter.com/XXinwvvpyX,[],[],['https://pbs.twimg.com/media/EFEzueQUYAAEPZA.jpg'],0,0,0,"['#gejayanmemanggil', '#jogjabergerak']",[],https://twitter.com/kriztbee/status/1175777888131375106,False,,0,,,,,,,"[{'user_id': '71212954', 'username': 'kriztbee'}]",,,,
1175777880732651521,1175777880732651521,1569162266000,2019-09-22,21:24:26,SE Asia Standard Time,483836890,mk_wiro,#depanPCaja,,"Tempat teraman______adalah tempat yang paling tidak aman_____.

Diisi sendiri yaa cc @KPK_RI
@bpkri
#GejayanMemanggil","['kpk_ri', 'bpkri']",[],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/mk_wiro/status/1175777880732651521,False,,0,,,,,,,"[{'user_id': '483836890', 'username': 'mk_wiro'}, {'user_id': '104714478', 'username': 'KPK_RI'}, {'user_id': '142718499', 'username': 'bpkri'}]",,,,
1175777877465260032,1175777877465260032,1569162265000,2019-09-22,21:24:25,SE Asia Standard Time,576102726,fauzanertanto1,Fauzan Ertanto,,#GejayanMemanggil trending topik. Besok psim juga main. Lokasi demo dan mandala krida nggak jauh-jauh amat. Besok Jogja mungkin agak chaos.,[],[],[],0,1,2,['#gejayanmemanggil'],[],https://twitter.com/fauzanertanto1/status/1175777877465260032,False,,0,,,,,,,"[{'user_id': '576102726', 'username': 'fauzanertanto1'}]",,,,
1175777869231845376,1175777869231845376,1569162263000,2019-09-22,21:24:23,SE Asia Standard Time,270791276,icalramadhan_,Anak Pak RT,,"Semoga para elit kampus terketuk hatinya, semoga kaum muda mau memulai pergerakan.

#GejayanMemanggil ku doakan yang terbaik untuk bangsaku...  pic.twitter.com/1jItIOFKNi",[],[],['https://pbs.twimg.com/media/EFEzvXPUYAA37k6.jpg'],0,1,0,['#gejayanmemanggil'],[],https://twitter.com/icalramadhan_/status/1175777869231845376,False,,0,,,,,,,"[{'user_id': '270791276', 'username': 'icalramadhan_'}]",,,,
1175777850865020928,1175777850865020928,1569162259000,2019-09-22,21:24:19,SE Asia Standard Time,1025407692,bastianrosyidi,🐒,,21.24 iseh duwur dewe #GejayanMemanggil,[],[],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/Bastianrosyidi/status/1175777850865020928,False,,0,,,,,,,"[{'user_id': '1025407692', 'username': 'Bastianrosyidi'}]",,,,
1175777843608870912,1175777843608870912,1569162257000,2019-09-22,21:24:17,SE Asia Standard Time,1976158470,kikinisasi,#Kikinian,,#GejayanMemanggil  pic.twitter.com/cx3nR5hA7t,[],[],['https://pbs.twimg.com/media/EFEzt2_VUAI9BPb.jpg'],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/kikinisasi/status/1175777843608870912,False,,0,,,,,,,"[{'user_id': '1976158470', 'username': 'kikinisasi'}]",,,,
1175777842769973248,1175777842769973248,1569162257000,2019-09-22,21:24:17,SE Asia Standard Time,1095963364537200640,hniast1,kenapa saya,,Sedang berada dipanggilan lain #GejayanMemanggil,[],[],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/Hniast1/status/1175777842769973248,False,,0,,,,,,,"[{'user_id': '1095963364537200640', 'username': 'Hniast1'}]",,,,
